Postcode,Top Industry 1,%,Top Industry 2,%,Top Industry 3,%,Top Industry 4,%,Top Industry 5,%
3000,Cafes & Restaurants,13.2,Computer Systems Design,6.2,Higher Education,3.1,Banking,2.7,Hospitals,2.6
3002,Hospitals,7.1,Legal Services,4.1,Higher Education,3.8,Computer Systems Design,3.3,Accounting Services,2.8
3003,Cafes & Restaurants,6.7,Computer Systems Design,5.8,Hospitals,3.7,Higher Education,3.5,Banking,3
3031,Hospitals,6.5,Higher Education,4.2,Computer Systems Design,3.3,Cafes & Restaurants,3,State Government,3
3051,Hospitals,8.5,Higher Education,6.2,Cafes & Restaurants,5.3,Computer Systems Design,3.5,State Government,2.5
3053,Cafes & Restaurants,8.6,Higher Education,6.3,Hospitals,4.9,Computer Systems Design,3.6,Legal Services,2.4
3054,Hospitals,5.9,Higher Education,5.3,Legal Services,4.5,Cafes & Restaurants,4.2,State Government,3.1
3052,Higher Education,7.5,Cafes & Restaurants,5.8,Hospitals,5.4,Accommodation,3.3,Secondary Education,2.9
3008,Computer Systems Design,12.1,Banking,5.6,Cafes & Restaurants,5.3,Accounting Services,2.8,Hospitals,2.3
3006,Computer Systems Design,6.4,Cafes & Restaurants,6.4,Banking,3.7,Accounting Services,3,Industrial Cleaning,3
