Postcode,Professionals,Managers,Clerical/Admin,Community/Personal Service,Technicians/Trades,Sales,Labourers,Machinery Operators
3000,33.5,10.2,10.4,14.3,10,8.2,8.5,2.8
3002,49.2,20,11.1,6.3,3.7,5,2.2,0.9
3003,39.7,13.7,11.5,9.9,8.3,6.1,6.5,2.7
3031,41.8,16.1,11.8,8.5,6.5,5.8,5.3,2.6
3051,44.4,12.6,10.8,10.2,6.7,6,5.3,2.5
3053,41.3,9.8,10,13,7.2,7.8,6.2,2.9
3054,48.6,15.3,9.7,9.3,6,6,2.3,1.1
3052,39.5,10,10.8,14.7,6.1,8,7.3,1.8
3008,42.2,16.2,11.4,7.7,6.8,6.7,4.6,2.4
3006,38.5,15.1,12.1,10.1,7.3,6.4,6.4,2.2
